benchmark,rank,model,official_tasks,success_threshold,M25,M50,M75,SR,MP,PPL,CRA,STR,DRR,FNS,SQS
"RoboDojo-Sim",1,"Hy-Embodied-0.5-VLA",42,1,0.6701388888888888,0.4652777777777778,0.2881944444444444,0.1145833333333333,0.4767999999999999,0.1881077089661726,0.09747430946040075,0.3580035601807476,0.8305871876623702,0.19985,0.777723749700209
"RoboDojo-Sim",2,"Pi-05",42,1,0.7361111111111112,0.4583333333333333,0.2743055555555556,0.08680555555555555,0.4660499999999999,0.1687731401530352,0.1017573874232973,0.3035500598324691,0.8745576400200454,0.2102777777777778,0.7876392348675035
"RoboDojo-Sim",3,"Spatial Forcing",42,1,0.7083333333333334,0.4444444444444444,0.2916666666666667,0.08680555555555555,0.4488499999999999,0.1698116480686982,0.1144575777599019,0.2958683473389356,0.934675431362698,0.20145,0.7419418137732435
"RoboDojo-Sim",4,"X-WAM",42,1,0.7395833333333334,0.4166666666666667,0.2326388888888889,0.07291666666666667,0.4118999999999999,0.1603341131308905,0.1089499809150138,0.3088499550763701,0.8050658106846713,0.19375,0.7786051032603691
"RoboDojo-Sim",5,"GalaxeaVLA (G0)",42,1,0.5104895104895105,0.3181818181818182,0.1713286713286713,0.06293706293706294,0.2614,0.1015193835810133,0.1362117625995278,0.3852063213345039,0.7413224116325474,0.1154928571428571,0.7707422644615942
"RoboDojo-Sim",6,"X-VLA",42,1,0.6258741258741258,0.4160839160839161,0.2307692307692308,0.06293706293706294,0.3984499999999999,0.1381813964491028,0.1116826941480043,0.2840909090909091,0.6551743316221825,0.1764111111111111,0.8173883531619933
"RoboDojo-Sim",7,"AHA-WAM",42,1,0.5486111111111112,0.2881944444444444,0.1736111111111111,0.04513888888888889,0.27135,0.0870911149754767,0.1536392657134759,0.3269348894348895,0.7716061131372781,0.13095,0.7720686250433809
"RoboDojo-Sim",8,"StarVLA",42,1,0.53125,0.2569444444444444,0.125,0.04166666666666666,0.2711,0.1005779004635112,0.1154973323964426,0.4328358208955224,0.7331407804827531,0.1304,0.8552231446942329
"RoboDojo-Sim",9,"Xiaomi-Robotics-0",42,1,0.5520833333333334,0.3298611111111111,0.1805555555555556,0.03819444444444445,0.27705,0.1048990156911895,0.1208272025237346,0.3591044776119403,0.6893951159275912,0.1355,0.7183636753828034
"RoboDojo-Sim",10,"Pi-0",42,1,0.5173611111111112,0.2638888888888889,0.1354166666666667,0.03472222222222222,0.2615499999999999,0.08748049496695043,0.1492039612139816,0.3645238095238095,0.6967790842083194,0.1243571428571429,0.7488108167196089
"RoboDojo-Sim",11,"GigaWorld-Policy-0",42,1,0.5763888888888888,0.34375,0.2013888888888889,0.03125,0.2775,0.1138477059775795,0.09830692085526348,0.4142156862745098,0.6001999000499743,0.1379,0.7730609053763442
"RoboDojo-Sim",12,"LDA-1B",42,1,0.3576388888888889,0.1388888888888889,0.05902777777777778,0.02777777777777778,0.17425,0.05497344936742762,0.2121623083762945,0.4329876346230555,0.5924737757137379,0.08441428571428569,0.8879576170569751
"RoboDojo-Sim",13,"Fast-WAM",42,1,0.4270833333333333,0.1944444444444444,0.1145833333333333,0.02430555555555556,0.19145,0.07970478200844669,0.121492729704654,0.444468832309043,0.7273644064717002,0.09414999999999998,0.7136101290147261
"RoboDojo-Sim",14,"GROOT-N1.7",42,1,0.5069444444444444,0.2673611111111111,0.1076388888888889,0.02083333333333333,0.254,0.0923421919319449,0.146564754143171,0.4292857142857143,0.6860691260470746,0.123975,0.8512710134701206
"RoboDojo-Sim",15,"InternVLA-A1",42,1,0.4513888888888889,0.2013888888888889,0.09722222222222222,0.02083333333333333,0.22295,0.07473280148509319,0.15741790104922,0.3816526610644257,0.5674238310144003,0.1068,0.8319445074985004
"RoboDojo-Sim",16,"Spirit v1.5",42,1,0.2881944444444444,0.1215277777777778,0.05555555555555555,0.01736111111111111,0.1498,0.04213680625590534,0.2163676288860648,0.44,0.6739650367889959,0.07339999999999999,0.7257107384090343
"RoboDojo-RealWorld",1,"Pi-05",18,1,0.8529411764705882,0.6058823529411764,0.3882352941176471,0.1705882352941177,0.59895,0.2892668050885934,0.05222473039769397,0.218070652173913,1,0.4539,0.8208407136590672
"RoboDojo-RealWorld",2,"InternVLA-A1",18,1,0.6176470588235294,0.3352941176470588,0.1882352941176471,0.04705882352941176,0.3042499999999999,0.1417939983507368,0.09244642803428343,0.3814968814968815,0.6681083708340976,0.1483321428571428,0.8661915237825151
"RoboDojo-RealWorld",3,"Xiaomi-Robotics-0",18,1,0.5470588235294118,0.2941176470588235,0.1176470588235294,0.03529411764705882,0.27115,0.1049530840395086,0.1300911535637252,0.3544973544973545,0.6269967584771828,0.13135,0.8447149061854138
"RoboDojo-RealWorld",4,"GalaxeaVLA (G0)",18,1,0.6,0.2764705882352941,0.1,0.02352941176470588,0.2940999999999999,0.1117179921190669,0.1187411841376369,0.3548387096774194,0.6668630871465162,0.1435607142857143,0.8821105655288837
"RoboDojo-RealWorld",5,"X-VLA",18,1,0.6941176470588235,0.3235294117647059,0.1705882352941177,0.02352941176470588,0.3721499999999999,0.1137970599071094,0.1576076805001304,0.2238805970149254,0.6631288795496708,0.1823861111111111,0.8345358626718411
