benchmark,task,model,valid_rollouts,M25,M50,M75,SR,MP,PPL,CRA,STR,DRR,FNS,SQS
RoboDojo-RealWorld,cap_pen,InternVLA-A1,10,0.6,0.5,0.5,0.3,0.5837999999999999,0.24094770921836262,0.0864192411253984,0.21794871794871795,1,0.1073,0.6705941881448051
RoboDojo-RealWorld,cap_pen,GalaxeaVLA (G0),10,0.8,0.4,0.3,0.1,0.3789555555555555,0.1338348914059269,0.17423416935532882,0.1282051282051282,0.2556697144315293,0.1815555555555556,0.8900219202590784
RoboDojo-RealWorld,cap_pen,Pi-05,10,0.9,0.4,0.2,0.1,0.4842928571428571,0.2084962595803146,0.18210712865140388,0.1282051282051282,0.5427437725039418,0.2361499999999999,0.7757508893843676
RoboDojo-RealWorld,cap_pen,Xiaomi-Robotics-0,10,0.6,0.4,0.4,0.1,0.42506428571428556,0.19726748965688612,0.1287071103517462,0.21794871794871795,0.571536869112161,0.2063499999999999,0.6655184523210994
RoboDojo-RealWorld,cap_pen,GROOT-N1.7,10,1,0.7,0.5,0,0.7500999999999998,0.3653256775467594,0.2615514288370331,0.1794871794871795,0.07414697990986842,0.72505,0
RoboDojo-RealWorld,cap_pen,Pi-0,10,0.6,0,0,0,0.2501428571428571,0.13037013392677355,0.09229309267752955,0.4358974358974359,0.3320431108983582,0.12507142857142856,0
RoboDojo-RealWorld,cap_pen,Spirit v1.5,10,0.9,0.3,0.1,0,0.33194999999999997,0.12702324242354318,0.3749582759772955,0.20512820512820515,0.2651316550947678,0.16597499999999998,0
RoboDojo-RealWorld,cap_pen,StarVLA,10,0.1,0,0,0,0.1752,0.06913553951779891,0.15686767002832364,0.39743589743589747,0.6667964675209703,0.0876,0
RoboDojo-RealWorld,cap_pen,X-VLA,10,1,0.7,0.3,0,0.59345,0.24123784999204667,0.2807594778964865,0.1025641025641026,0.09396369924241356,0.49672499999999997,0
RoboDojo-RealWorld,classify_objects,Pi-05,10,0.5,0.1,0.1,0.1,0.17085,0.05993509325426486,0.06438366073208596,0.6640625,0.7283695187977236,0.03185,0.8950779560106181
RoboDojo-RealWorld,classify_objects,GalaxeaVLA (G0),10,0.5,0,0,0,0.23352857142857147,0.09998805315851368,0.07221149148618025,0.5390625,0.8379564190314022,0.1167642857142857,0
RoboDojo-RealWorld,classify_objects,GROOT-N1.7,10,0.5,0,0,0,0.24690000000000004,0.08723579916278452,0.06672253087403887,0.6171875,0.6368240811558168,0.12345,0
RoboDojo-RealWorld,classify_objects,InternVLA-A1,10,0.5,0.2,0,0,0.26130000000000003,0.09705915844907409,0.054769190599901124,0.7421875,0.7084276730191803,0.13065000000000002,0
RoboDojo-RealWorld,classify_objects,Pi-0,10,0.4,0,0,0,0.1022,0.019931197000520623,0.1502003987694736,0.46875,0.7217038855200654,0.05109999999999999,0
RoboDojo-RealWorld,classify_objects,Spirit v1.5,10,0.4,0,0,0,0.0958,0.03083953091707274,0.06959561726999758,0.75,1,0.04789999999999999,0
RoboDojo-RealWorld,classify_objects,StarVLA,10,0.4,0.2,0.1,0,0.0802,0.024115624624289355,0.06745192390029198,0.703125,0.7675698743228037,0.04009999999999999,0
RoboDojo-RealWorld,classify_objects,X-VLA,10,0.3,0,0,0,0.04450555555555556,0.0189932272914038,0.0937790711907559,0.90625,0.6910062767704936,0.02225277777777778,0
RoboDojo-RealWorld,classify_objects,Xiaomi-Robotics-0,10,0.5,0.3,0,0,0.20034999999999997,0.04348621707527954,0.14333750144871477,0.37123842592592593,0.3984437480057489,0.10017499999999999,0
RoboDojo-RealWorld,disassemble_LEGO,Pi-05,10,0.6,0.6,0.4,0.2,0.6658,0.2303060036839935,0.1763234137216541,0.24313186813186816,0.3133447775870404,0.29977499999999996,0.941876417995122
RoboDojo-RealWorld,disassemble_LEGO,StarVLA,10,0.5,0.5,0.3,0.2,0.39152499999999996,0.17273097345592398,0.2563839579910329,0.3910256410256411,0.17992669412173454,0.107425,0.8640420809762784
RoboDojo-RealWorld,disassemble_LEGO,Xiaomi-Robotics-0,10,0.9,0.7,0.4,0.1,0.72115,0.233755921106002,0.22335597482582775,0.15384615384615385,0.5223339130603221,0.5506,0.6557099614296817
RoboDojo-RealWorld,disassemble_LEGO,GalaxeaVLA (G0),10,0.7,0.6,0.2,0,0.5761,0.16493130036468023,0.1489275682253172,0.25,0.5292979936362419,0.48805,0
RoboDojo-RealWorld,disassemble_LEGO,InternVLA-A1,10,0.7,0.6,0.4,0,0.6136999999999999,0.2434368072061397,0.1341170040320985,0.21153846153846156,0.32464774508587313,0.50685,0
RoboDojo-RealWorld,disassemble_LEGO,Pi-0,10,0.3,0.1,0,0,0.20849999999999996,0.1033742790626556,0.23733404759832932,0.47115384615384615,0.256062249790011,0.10425000000000001,0
RoboDojo-RealWorld,disassemble_LEGO,Spirit v1.5,10,1,0.8,0.1,0,0.6084999999999999,0.1694434680014419,0.440033019628686,0.125,0.487085225865784,0.50425,0
RoboDojo-RealWorld,disassemble_LEGO,X-VLA,10,1,0.9,0.7,0,0.8302999999999998,0.30984385362210765,0.3054728340836279,0.1634615384615385,0.12111219463142205,0.9151499999999999,0
RoboDojo-RealWorld,fill_pen_holder,GalaxeaVLA (G0),10,1,0.8,0.6,0.1,0.7928999999999998,0.3867876678767094,0.079992684271223,0.2421875,0.884771275009871,0.8911999999999998,0.7344299471579101
RoboDojo-RealWorld,fill_pen_holder,StarVLA,10,0.6,0.3,0.2,0.1,0.34639999999999993,0.26443183445195856,0.04456487665607263,0.10263157894736841,0.17155087589828624,0.125,0.7495463947820006
RoboDojo-RealWorld,fill_pen_holder,GROOT-N1.7,10,0.7,0.6,0.2,0,0.5198999999999999,0.1867590924343,0.1294554248718701,0.140625,0.3135945297466581,0.45994999999999997,0
RoboDojo-RealWorld,fill_pen_holder,InternVLA-A1,10,0.5,0.5,0.2,0,0.36169999999999997,0.1716289502444504,0.084079729669293,0.3671875,0.5708873901197185,0.28085,0
